Date,OEM_Part_ID,Part_Name,Category,Manufacturer,Demand,Stock_Level,Sensor_Temperature,Sensor_Vibration,Sensor_Pressure,Supplier_Reliability_Score,Defect_Rate,Late_Delivery_Frequency,Lead_Time_Days,Route_Duration,Traffic_Impact,Delivery_Status,Transportation_Cost,Fuel_Consumption
2020-01-01,VW001,Turbocharger,Fuel System,Bosch,279,410,100.69,0.33,54.55,0.88,0.1,4,11,111,High,In Transit,123.95279500000001,9.99952
2020-01-02,VW002,Airbag Module,Braking System,Garrett Motion,140,283,89.28,1.6,78.69,0.98,0.09,3,11,150,Low,In Transit,123.95279500000001,9.99952
2020-01-03,VW003,Brake Pads,Safety System,Exide,163,283,108.73,0.72,64.43,0.96,0.08,2,15,176,High,Delayed,123.95279500000001,9.99952
2020-01-04,VW004,Alternator,Engine,Behr Hella,192,398,82.79,0.85,45.04,0.93,0.09,2,21,56,Low,On Time,123.95279500000001,9.99952
2020-01-05,VW005,Battery,Engine,Continental AG,323,432,82.85,1.88,75.14,0.91,0.03,3,17,161,Low,On Time,123.95279500000001,9.99952
2020-01-06,VW006,Transmission Assembly,Fuel System,Valeo,343,464,91.72,1.97,31.68,0.91,0.06,3,24,175,Medium,Delayed,123.95279500000001,9.99952
2020-01-07,VW007,Engine Control Module,Suspension,Continental AG,118,315,76.87,0.31,75.76,0.85,0.09,1,23,100,High,In Transit,123.95279500000001,9.99952
2020-01-08,VW008,Turbocharger,Electrical System,Exide,247,484,99.23,0.87,71.58,0.96,0.05,3,14,152,Low,In Transit,123.95279500000001,9.99952
2020-01-09,VW009,Suspension System,Engine,Valeo,482,706,101.73,2.06,59.88,0.9,0.03,1,20,158,Medium,Delayed,123.95279500000001,9.99952
2020-01-10,VW010,Transmission Assembly,Engine,Autoliv,136,299,78.67,2.19,45.29,0.85,0.01,4,15,142,Medium,On Time,123.95279500000001,9.99952
2020-01-11,VW011,Brake Pads,Suspension,Brembo,492,702,84.59,1.11,44.19,0.85,0.08,1,28,165,High,Delayed,123.95279500000001,9.99952
2020-01-12,VW012,Fuel Injector,Engine,Autoliv,462,723,76.43,1.37,39.78,0.9,0.07,4,28,78,Low,In Transit,123.95279500000001,9.99952
2020-01-13,VW013,Engine Control Module,Transmission,ZF Friedrichshafen,121,341,96.11,1.16,75.53,0.93,0.08,1,9,150,Low,Delayed,123.95279500000001,9.99952
2020-01-14,VW014,Alternator,Cooling System,ZF Friedrichshafen,264,440,103.98,1.62,50.54,0.96,0.1,1,18,173,Medium,In Transit,123.95279500000001,9.99952
2020-01-15,VW015,Brake Pads,Suspension,Behr Hella,70,335,104.09,2.14,30.86,0.92,0.08,1,27,142,High,On Time,123.95279500000001,9.99952
2020-01-16,VW016,Battery,Engine,Garrett Motion,416,711,74.71,1.76,68.41,0.92,0.07,4,23,179,Low,Delayed,123.95279500000001,9.99952
2020-01-17,VW017,Suspension System,Suspension,Brembo,485,628,100.53,0.41,72.72,0.89,0.09,0,18,172,High,In Transit,123.95279500000001,9.99952
2020-01-18,VW018,Engine Control Module,Engine,Exide,145,434,104.03,0.61,63.74,0.95,0.02,2,12,105,Medium,In Transit,123.95279500000001,9.99952
2020-01-19,VW019,Brake Pads,Electrical System,Bosch,205,327,95.57,1.09,58.3,0.98,0.08,4,28,108,Low,Delayed,123.95279500000001,9.99952
2020-01-20,VW020,Brake Pads,Transmission,Bosch,180,408,94.92,1.02,53.62,0.92,0.06,0,29,125,High,On Time,123.95279500000001,9.99952
2020-01-21,VW021,Turbocharger,Electrical System,Valeo,172,396,95.63,1.36,30.61,0.87,0.05,1,21,99,Low,On Time,123.95279500000001,9.99952
2020-01-22,VW022,Transmission Assembly,Engine,Valeo,85,254,83.51,0.27,39.85,0.95,0.05,1,29,130,Low,Delayed,123.95279500000001,9.99952
2020-01-23,VW023,Engine Control Module,Transmission,Bosch,268,415,72.73,2.35,60.48,0.96,0.08,0,9,90,Medium,Delayed,123.95279500000001,9.99952
2020-01-24,VW024,Suspension System,Safety System,ZF Friedrichshafen,132,430,83.88,0.13,32.99,0.94,0.02,4,19,119,Low,In Transit,123.95279500000001,9.99952
2020-01-25,VW025,Suspension System,Fuel System,Exide,360,536,108.5,2.24,34.5,0.96,0.04,3,14,172,Medium,On Time,123.95279500000001,9.99952
2020-01-26,VW026,Battery,Fuel System,Valeo,383,676,79.39,1.96,46.68,0.88,0.01,3,8,169,Medium,On Time,123.95279500000001,9.99952
2020-01-27,VW027,Radiator,Suspension,Exide,392,651,105.45,0.22,67.66,0.91,0.09,2,10,98,Low,In Transit,123.95279500000001,9.99952
2020-01-28,VW028,Transmission Assembly,Transmission,ZF Friedrichshafen,275,410,73.91,1.76,74.51,0.95,0.03,1,25,174,Low,Delayed,123.95279500000001,9.99952
2020-01-29,VW029,Radiator,Cooling System,Valeo,212,415,102.71,2.04,53.44,0.88,0.07,1,20,41,High,On Time,123.95279500000001,9.99952
2020-01-30,VW030,Battery,Fuel System,Behr Hella,120,278,89.16,1.59,56.01,0.9,0.05,0,10,33,Medium,In Transit,123.95279500000001,9.99952
2020-01-31,VW031,Airbag Module,Fuel System,Continental AG,436,622,97.62,2.19,69.91,0.97,0.04,1,9,150,High,On Time,123.95279500000001,9.99952
2020-02-01,VW032,Battery,Cooling System,Garrett Motion,211,369,75.16,0.15,39.16,0.88,0.02,4,20,128,High,Delayed,123.95279500000001,9.99952
2020-02-02,VW033,Airbag Module,Transmission,Continental AG,399,663,86.54,0.58,39.54,0.97,0.05,3,18,83,Low,Delayed,123.95279500000001,9.99952
2020-02-03,VW034,Brake Pads,Braking System,Autoliv,388,674,108.15,0.36,67.13,0.9,0.05,2,24,132,High,In Transit,123.95279500000001,9.99952
2020-02-04,VW035,Battery,Electrical System,Brembo,208,358,92.81,2.34,79.91,0.86,0.04,1,18,170,High,On Time,123.95279500000001,9.99952
2020-02-05,VW036,Transmission Assembly,Electrical System,Behr Hella,180,419,88.12,1.68,70.84,0.89,0.05,4,25,112,High,In Transit,123.95279500000001,9.99952
2020-02-06,VW037,Turbocharger,Suspension,Garrett Motion,246,469,71.85,1.79,45.61,0.95,0.02,4,29,101,Low,On Time,123.95279500000001,9.99952
2020-02-07,VW038,Alternator,Suspension,Continental AG,399,633,92.1,0.89,75.98,0.94,0.03,0,23,108,Low,Delayed,123.95279500000001,9.99952
2020-02-08,VW039,Brake Pads,Suspension,Continental AG,405,527,106.47,1.33,34.52,0.87,0.04,0,21,108,Medium,On Time,123.95279500000001,9.99952
2020-02-09,VW040,Radiator,Braking System,Bosch,166,457,101.2,2.12,39.94,0.98,0.08,0,18,156,Low,Delayed,123.95279500000001,9.99952
2020-02-10,VW041,Battery,Cooling System,Brembo,177,320,92.24,1.97,64.2,0.91,0.01,0,23,154,High,Delayed,123.95279500000001,9.99952
2020-02-11,VW042,Transmission Assembly,Electrical System,Bosch,181,406,100.75,2.19,65.41,0.88,0.01,1,8,43,High,In Transit,123.95279500000001,9.99952
2020-02-12,VW043,Engine Control Module,Cooling System,Valeo,355,523,107.6,0.94,71.51,0.87,0.07,4,22,125,Medium,On Time,123.95279500000001,9.99952
2020-02-13,VW044,Battery,Braking System,Exide,142,364,87.11,0.64,40.86,0.88,0.05,1,9,136,Low,On Time,123.95279500000001,9.99952
2020-02-14,VW045,Battery,Electrical System,ZF Friedrichshafen,425,553,95.94,0.32,35.56,0.96,0.1,0,10,39,Medium,On Time,123.95279500000001,9.99952
2020-02-15,VW046,Fuel Injector,Engine,Valeo,278,473,87.21,1.82,36.43,0.89,0.04,2,12,135,High,In Transit,123.95279500000001,9.99952
2020-02-16,VW047,Turbocharger,Fuel System,Garrett Motion,451,580,95.7,1.49,36.76,0.87,0.04,1,13,132,Medium,On Time,123.95279500000001,9.99952
2020-02-17,VW048,Alternator,Engine,Garrett Motion,493,670,98.19,0.25,53.77,0.93,0.02,1,17,139,Medium,In Transit,123.95279500000001,9.99952
2020-02-18,VW049,Airbag Module,Cooling System,Bosch,409,626,89.51,2.39,59.98,0.92,0.02,4,8,90,High,In Transit,123.95279500000001,9.99952
2020-02-19,VW050,Engine Control Module,Suspension,Behr Hella,192,391,90.89,0.12,66.41,0.97,0.08,2,10,110,Low,Delayed,123.95279500000001,9.99952
2020-02-20,VW051,Transmission Assembly,Safety System,Bosch,144,263,93.44,0.11,60.58,0.94,0.03,0,20,177,Medium,Delayed,123.95279500000001,9.99952
2020-02-21,VW052,Battery,Transmission,Continental AG,409,577,96.67,1.31,62.94,0.96,0.02,3,24,129,Low,On Time,123.95279500000001,9.99952
2020-02-22,VW053,Brake Pads,Transmission,Bosch,139,339,97.49,1.66,76.75,0.88,0.05,3,25,120,Medium,Delayed,123.95279500000001,9.99952
2020-02-23,VW054,Turbocharger,Engine,Bosch,361,462,102.78,1.52,46.2,0.96,0.07,1,8,143,Medium,On Time,123.95279500000001,9.99952
2020-02-24,VW055,Suspension System,Safety System,Brembo,73,313,77.28,0.4,79.5,0.91,0.06,2,23,51,Low,In Transit,123.95279500000001,9.99952
2020-02-25,VW056,Engine Control Module,Braking System,Autoliv,102,320,70.98,0.57,50.33,0.97,0.05,1,22,88,Medium,In Transit,123.95279500000001,9.99952
2020-02-26,VW057,Engine Control Module,Braking System,Bosch,351,558,84.74,2.17,36.63,0.85,0.08,4,11,86,Medium,On Time,123.95279500000001,9.99952
